Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780881637,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780881638,50,,Aggregated,0.000000,0.000000,520,580,600,610,630,630,650,650,650,650,650,50,0,520.0,526.4047552199941,293.1925540000293,650.9547069999826,54243.84
1780881639,100,,Aggregated,0.000000,0.000000,330,470,510,570,600,630,630,650,650,650,650,110,0,320.0,350.5578061999989,4.43738299998131,650.9547069999826,53220.56363636364
1780881640,150,,Aggregated,0.000000,0.000000,220,320,350,450,580,600,630,630,650,650,650,205,0,220.0,251.3769202829236,4.43738299998131,650.9547069999826,52253.11707317073
1780881641,200,,Aggregated,33.000000,0.000000,190,290,320,330,500,580,630,630,650,650,650,321,0,190.0,209.51673339251911,4.43738299998131,650.9547069999826,52068.121495327105
1780881642,250,,Aggregated,45.000000,0.000000,180,250,300,320,410,530,610,630,650,650,650,469,0,180.0,188.37458316417525,4.43738299998131,650.9547069999826,50281.213219616206
1780881643,300,,Aggregated,55.000000,0.000000,170,240,280,310,380,500,600,630,650,650,650,622,0,170.0,179.39208422507832,4.011739000020498,650.9547069999826,49753.673633440514
1780881644,350,,Aggregated,65.800000,0.000000,200,280,320,350,580,630,770,790,920,920,920,722,0,190.0,225.90136290720102,4.011739000020498,922.5710729999719,49595.33656509695
1780881645,400,,Aggregated,80.333333,0.000000,250,390,540,600,700,780,850,910,1100,1100,1100,901,0,250.0,311.99195826082166,4.011739000020498,1070.5486120000387,50363.84461709212
1780881646,450,,Aggregated,90.142857,0.000000,320,530,620,650,760,870,1100,1200,1400,1600,1600,1078,0,320.0,377.9879769239332,4.011739000020498,1627.2458079999979,50578.10482374768
1780881647,500,,Aggregated,94.375000,0.000000,400,600,660,710,820,950,1200,1300,1500,1600,1600,1227,0,400.0,429.4857967180119,4.011739000020498,1627.2458079999979,50725.95925020375
1780881648,550,,Aggregated,104.000000,0.000000,520,650,740,780,910,1000,1300,1400,1800,1900,1900,1406,0,520.0,492.1543495469414,4.011739000020498,1870.773483999983,50773.99786628734
1780881649,600,,Aggregated,110.500000,0.000000,580,730,820,900,1100,1300,1600,1800,2100,2100,2100,1565,0,580.0,568.647562606389,4.011739000020498,2067.5066380000544,50864.805750798725
1780881650,650,,Aggregated,128.800000,0.000000,620,800,940,1100,1400,1600,1900,2100,2800,2800,2800,1723,0,620.0,665.54826440975,4.011739000020498,2818.544391000046,50600.45908299478
1780881651,700,,Aggregated,135.600000,0.000000,650,850,1000,1200,1600,1800,2300,2600,2900,2900,2900,1813,0,650.0,732.0247616221735,4.011739000020498,2896.5179140000146,50261.39547710976
1780881652,750,,Aggregated,144.800000,0.000000,700,950,1200,1500,2100,2200,2600,2900,3600,3700,3700,1977,0,700.0,864.4642854365189,4.011739000020498,3681.8624239999735,50177.07384926656
1780881653,800,,Aggregated,150.400000,0.000000,740,1100,1400,1700,2300,2500,2900,3400,3900,3900,3900,2099,0,740.0,970.2477335464496,4.011739000020498,3941.067756000052,50323.37636969986
1780881654,850,,Aggregated,149.400000,0.000000,770,1200,1600,2000,2500,2900,3300,3900,4300,4900,4900,2212,0,770.0,1078.1396545054245,4.011739000020498,4867.072858000029,50560.8910488246
1780881655,900,,Aggregated,149.500000,0.000000,830,1400,2100,2300,2900,3100,4100,4300,4900,5000,5000,2369,0,830.0,1227.4853232351195,4.011739000020498,4956.152741999972,50529.93161671591
1780881656,950,,Aggregated,146.800000,0.000000,890,1600,2200,2500,3100,3300,4300,4700,5100,5200,5200,2500,0,890.0,1350.8004522927993,4.011739000020498,5221.048691000078,50371.56
1780881657,1000,,Aggregated,149.800000,0.000000,1000,2100,2600,2900,3300,3500,4800,5100,5700,5800,5800,2689,0,1000.0,1515.0762489300857,4.011739000020498,5819.36314099994,50469.782818891785
1780881658,1000,,Aggregated,143.300000,0.000000,1200,2300,2900,3200,3400,4100,5200,5500,5900,6000,6000,2862,0,1200.0,1655.3338996093655,4.011739000020498,5980.375329000026,50218.20789657582
1780881659,1000,,Aggregated,140.800000,0.000000,1300,2500,3100,3200,3400,4600,5400,5700,6000,6000,6000,3011,0,1300.0,1768.0636623410849,4.011739000020498,6030.777401000023,50225.93191630687
1780881660,1000,,Aggregated,141.300000,0.000000,1400,2700,3200,3300,3500,4800,5600,5900,6400,6700,6700,3136,0,1400.0,1861.3930005586762,4.011739000020498,6671.694884999965,50138.23469387755
1780881661,1000,,Aggregated,145.500000,0.000000,1600,2900,3300,3400,3800,5100,5900,6300,7000,7000,7000,3257,0,1600.0,1960.5354347331934,4.011739000020498,6996.384597999963,50011.46822229045
1780881662,1000,,Aggregated,143.300000,0.000000,1700,3100,3300,3400,4100,5300,6100,6700,7200,7500,7500,3382,0,1700.0,2065.2630771431127,4.011739000020498,7522.08726799995,50064.1085156712
1780881663,1000,,Aggregated,141.700000,0.000000,2000,3200,3400,3500,4400,5400,6400,7000,7700,7900,7900,3503,0,2000.0,2171.442031932917,4.011739000020498,7929.843633000019,50129.112189551815
1780881664,1000,,Aggregated,145.000000,0.000000,2100,3200,3400,3600,4700,5500,6700,7400,8100,8400,8400,3599,0,2100.0,2263.8882158852493,4.011739000020498,8439.208126999914,50220.75632120034
1780881665,1000,,Aggregated,141.300000,0.000000,2200,3300,3500,3900,5200,5700,7100,8000,8900,9000,9000,3739,0,2200.0,2407.881100817335,4.011739000020498,8964.32930200001,50213.02380315593
1780881666,1000,,Aggregated,140.900000,0.000000,2400,3300,3700,4300,5500,5900,7200,8100,9200,9300,9300,3890,0,2400.0,2545.833196373268,4.011739000020498,9344.945869000072,50011.12339331619
1780881667,1000,,Aggregated,135.200000,0.000000,2500,3400,4000,4700,5700,6000,7200,8100,9100,9300,9300,4015,0,2500.0,2651.6351062478248,4.011739000020498,9344.945869000072,50179.04259028642
1780881668,1000,,Aggregated,138.900000,0.000000,2700,3400,4300,5100,5900,6100,7100,8100,9100,9300,9300,4141,0,2700.0,2753.8301313499205,4.011739000020498,9344.945869000072,50154.808741849796
1780881669,1000,,Aggregated,137.900000,0.000000,2900,3500,4600,5400,5900,6100,7100,8000,9100,9300,9300,4277,0,2900.0,2854.1242272508825,4.011739000020498,9344.945869000072,50180.40963292027
1780881670,1000,,Aggregated,131.600000,0.000000,3000,3700,5100,5500,5900,6100,7000,8000,9100,9300,9300,4423,0,3000.0,2949.109215052911,4.011739000020498,9344.945869000072,50171.83359710604
1780881672,1000,,Aggregated,126.900000,0.000000,3200,4000,5300,5600,5900,6100,7000,8000,9100,9300,9300,4572,0,3200.0,3030.0102944888486,4.011739000020498,9344.945869000072,50209.2353455818
1780881673,1000,,Aggregated,128.200000,0.000000,3200,4300,5400,5600,5900,6100,6900,7900,9100,9300,9300,4738,0,3200.0,3109.256849643735,4.011739000020498,9344.945869000072,50199.69523005487
1780881674,1000,,Aggregated,129.900000,0.000000,3300,4600,5400,5500,5900,6100,6900,7800,9100,9300,9300,4866,0,3300.0,3162.5051259648612,4.011739000020498,9344.945869000072,50128.848129880804
1780881675,1000,,Aggregated,134.700000,0.000000,3300,4800,5400,5500,5900,6000,6900,7800,9100,9300,9300,4979,0,3300.0,3208.0346636135796,4.011739000020498,9344.945869000072,50096.818437437236
1780881676,1000,,Aggregated,135.700000,0.000000,3300,4900,5400,5600,5900,6000,6800,7800,9100,9300,9300,5117,0,3300.0,3265.462730055504,4.011739000020498,9344.945869000072,50183.472347078365
1780881677,1000,,Aggregated,136.600000,0.000000,3400,5000,5400,5600,5900,6000,6800,7800,9100,9300,9300,5250,0,3400.0,3317.065354002289,4.011739000020498,9344.945869000072,50043.52304761905
1780881678,1000,,Aggregated,135.000000,0.000000,3400,5000,5400,5600,5900,6000,6700,7800,9100,9300,9300,5380,0,3400.0,3364.9059064366193,4.011739000020498,9344.945869000072,50003.71970260223
1780881679,1000,,Aggregated,134.800000,0.000000,3500,5100,5400,5600,5900,6000,6700,7700,9100,9300,9300,5565,0,3500.0,3427.139337371429,4.011739000020498,9344.945869000072,49845.975561545376
1780881680,1000,,Aggregated,135.600000,0.000000,3600,5100,5400,5600,5900,6000,6600,7700,9100,9300,9300,5734,0,3600.0,3472.218543295083,4.011739000020498,9344.945869000072,49848.3430415068
1780881681,1000,,Aggregated,140.600000,0.000000,3800,5100,5400,5500,5800,6000,6600,7700,9100,9300,9300,5874,0,3800.0,3508.845473163262,4.011739000020498,9344.945869000072,49853.115253660195
1780881682,1000,,Aggregated,144.800000,0.000000,4000,5100,5400,5500,5800,6000,6400,7600,9100,9300,9300,6017,0,4000.0,3538.946321130962,4.011739000020498,9344.945869000072,49855.9860395546
1780881683,1000,,Aggregated,144.600000,0.000000,4300,5000,5400,5500,5800,6000,6400,7600,9100,9300,9300,6169,0,4300.0,3563.4858753438148,4.011739000020498,9344.945869000072,49833.14313502999
1780881684,1000,,Aggregated,144.000000,0.000000,4400,5000,5300,5500,5800,6000,6400,7600,9100,9300,9300,6295,0,4400.0,3585.8103790576633,4.011739000020498,9344.945869000072,49835.056711675934
1780881685,1000,,Aggregated,142.900000,0.000000,4500,5000,5300,5500,5800,6000,6300,7600,9100,9300,9300,6405,0,4500.0,3610.3560628961727,4.011739000020498,9344.945869000072,49948.50351288056
1780881686,1000,,Aggregated,141.200000,0.000000,4500,5000,5300,5500,5800,6000,6300,7600,9100,9300,9300,6574,0,4500.0,3645.7491395984216,4.011739000020498,9344.945869000072,49947.03924551263
1780881687,1000,,Aggregated,141.700000,0.000000,4600,5000,5300,5500,5800,6000,6300,7500,9100,9300,9300,6686,0,4600.0,3672.3150672612915,4.011739000020498,9344.945869000072,50007.815136105295
1780881688,1000,,Aggregated,145.800000,0.000000,4600,5100,5400,5500,5800,6000,6300,7500,9100,9300,9300,6837,0,4600.0,3712.320414492903,4.011739000020498,9344.945869000072,50062.88869387158
1780881689,1000,,Aggregated,145.800000,0.000000,4700,5100,5400,5500,5800,6000,6300,7500,9100,9300,9300,6944,0,4700.0,3740.1248853349625,4.011739000020498,9344.945869000072,50063.28830645161
1780881690,1000,,Aggregated,143.400000,0.000000,4700,5100,5400,5500,5800,6000,6200,7500,9000,9300,9300,7097,0,4700.0,3779.4414166683096,4.011739000020498,9344.945869000072,50120.896998731856
1780881691,1000,,Aggregated,139.200000,0.000000,4800,5200,5400,5500,5800,6000,6200,7400,9000,9300,9300,7260,0,4800.0,3814.6683419860915,4.011739000020498,9344.945869000072,50108.05068870523
1780881692,1000,,Aggregated,134.200000,0.000000,4800,5200,5400,5500,5800,6000,6200,7300,9000,9300,9300,7416,0,4800.0,3839.8588137486545,4.011739000020498,9344.945869000072,50056.85005393743
1780881693,1000,,Aggregated,138.800000,0.000000,4800,5100,5400,5500,5800,6000,6200,7200,9000,9300,9300,7576,0,4800.0,3861.479412118801,4.011739000020498,9344.945869000072,50046.695749736005
1780881694,1000,,Aggregated,138.300000,0.000000,4800,5100,5400,5500,5800,6000,6200,7200,9000,9300,9300,7738,0,4800.0,3880.5872632797923,4.011739000020498,9344.945869000072,50070.009950891705
1780881695,1000,,Aggregated,139.900000,0.000000,4800,5100,5400,5500,5800,6000,6200,7200,9000,9300,9300,7876,0,4800.0,3894.0808703730368,4.011739000020498,9344.945869000072,50018.87963433215
1780881696,1000,,Aggregated,143.400000,0.000000,4800,5100,5400,5500,5700,5900,6200,7200,9000,9300,9300,8002,0,4800.0,3907.4418478180496,4.011739000020498,9344.945869000072,49946.66058485379
1780881697,1000,,Aggregated,145.800000,0.000000,4800,5100,5300,5500,5700,5900,6200,7100,9000,9300,9300,8144,0,4800.0,3924.756765490057,4.011739000020498,9344.945869000072,49961.82134086444
1780881698,1000,,Aggregated,140.700000,0.000000,4800,5100,5300,5500,5700,5900,6200,7100,9000,9300,9300,8243,0,4800.0,3937.2931907379625,4.011739000020498,9344.945869000072,49908.61470338469
1780881699,1000,,Aggregated,142.600000,0.000000,4800,5100,5300,5500,5700,5900,6200,7100,9000,9300,9300,8380,0,4800.0,3959.7453896309103,4.011739000020498,9344.945869000072,49919.751431980905
1780881700,1000,,Aggregated,143.100000,0.000000,4800,5100,5400,5500,5700,5900,6200,7100,9000,9300,9300,8520,0,4800.0,3984.1854741237157,4.011739000020498,9344.945869000072,49971.26960093897
1780881701,1000,,Aggregated,139.400000,0.000000,4800,5200,5400,5500,5700,5900,6100,7000,9000,9300,9300,8633,0,4800.0,4004.802882406591,4.011739000020498,9344.945869000072,49963.263523688176
1780881702,1000,,Aggregated,143.100000,0.000000,4900,5200,5400,5500,5700,5900,6100,7000,9000,9300,9300,8755,0,4900.0,4028.596940023535,4.011739000020498,9344.945869000072,49944.71239291833
1780881703,1000,,Aggregated,136.400000,0.000000,4900,5200,5400,5500,5800,6000,6200,7000,9000,9300,9300,8895,0,4900.0,4058.75002740248,4.011739000020498,9344.945869000072,49946.22698145025
1780881704,1000,,Aggregated,133.300000,0.000000,4900,5200,5500,5600,5800,6000,6200,7000,9000,9300,9300,9012,0,4900.0,4083.9714384413073,4.011739000020498,9344.945869000072,50018.691189525074
1780881705,1000,,Aggregated,128.600000,0.000000,4900,5200,5500,5600,5900,6000,6300,7000,9000,9300,9300,9095,0,4900.0,4104.513540812099,4.011739000020498,9344.945869000072,50018.03320505773
1780881706,1000,,Aggregated,125.100000,0.000000,4900,5300,5500,5600,5900,6100,6500,7000,9000,9300,9300,9232,0,4900.0,4138.437956940646,4.011739000020498,9344.945869000072,50102.90901213171
1780881707,1000,,Aggregated,118.800000,0.000000,4900,5300,5500,5600,5900,6200,6500,6900,9000,9300,9300,9317,0,4900.0,4159.473250884516,4.011739000020498,9344.945869000072,50113.604808414726
1780881708,1000,,Aggregated,120.900000,0.000000,4900,5300,5500,5600,6000,6300,6600,6900,9000,9300,9300,9482,0,4900.0,4198.6860568389575,4.011739000020498,9344.945869000072,50145.700801518666
1780881709,1000,,Aggregated,119.600000,0.000000,4900,5400,5600,5700,6000,6400,6600,6900,9000,9300,9300,9616,0,4900.0,4229.483846686769,4.011739000020498,9344.945869000072,50182.34941763727
1780881710,1000,,Aggregated,119.200000,0.000000,5000,5400,5600,5700,6100,6400,6600,6900,9000,9300,9300,9726,0,5000.0,4255.227084793436,4.011739000020498,9344.945869000072,50137.18023853588
1780881711,1000,,Aggregated,125.400000,0.000000,5000,5400,5600,5700,6200,6400,6600,6900,9000,9300,9300,9876,0,5000.0,4287.616049414639,4.011739000020498,9344.945869000072,50135.490684487646
1780881712,1000,,Aggregated,118.600000,0.000000,5000,5400,5600,5800,6200,6400,6600,6900,9000,9300,9300,9990,0,5000.0,4308.32276685115,4.011739000020498,9344.945869000072,50121.61481481481
1780881713,1000,,Aggregated,119.200000,0.000000,5000,5400,5600,5800,6200,6400,6600,6900,8900,9300,9300,10090,0,5000.0,4326.58156000525,4.011739000020498,9344.945869000072,50148.670366699705
1780881714,1000,,Aggregated,123.900000,0.000000,5000,5500,5700,5800,6200,6400,6600,6900,8900,9300,9300,10228,0,5000.0,4349.8676071329655,4.011739000020498,9344.945869000072,50184.12514665624
1780881715,1000,,Aggregated,118.900000,0.000000,5000,5500,5700,5900,6200,6400,6600,6800,8900,9300,9300,10339,0,5000.0,4367.428925726275,4.011739000020498,9344.945869000072,50170.78856755973
1780881716,1000,,Aggregated,120.800000,0.000000,5000,5500,5700,5900,6200,6400,6600,6800,8900,9300,9300,10479,0,5000.0,4390.367907005911,4.011739000020498,9344.945869000072,50162.33400133601
1780881717,1000,,Aggregated,126.000000,0.000000,5100,5500,5800,5900,6200,6400,6600,6800,8900,9300,9300,10599,0,5100.0,4408.815230702422,4.011739000020498,9344.945869000072,50167.47381828474
1780881718,1000,,Aggregated,125.500000,0.000000,5100,5500,5800,5900,6200,6400,6600,6800,8900,9300,9300,10716,0,5100.0,4426.929390504099,4.011739000020498,9344.945869000072,50107.269410227695
1780881719,1000,,Aggregated,126.500000,0.000000,5100,5500,5800,6000,6200,6400,6600,6800,8900,9300,9300,10855,0,5100.0,4449.300354886495,4.011739000020498,9344.945869000072,50071.49368954399
1780881720,1000,,Aggregated,125.300000,0.000000,5100,5600,5900,6000,6200,6400,6600,6800,8900,9300,9300,10982,0,5100.0,4468.742940923594,4.011739000020498,9344.945869000072,50097.525951557094
1780881721,1000,,Aggregated,119.000000,0.000000,5100,5600,5900,6000,6200,6400,6600,6800,8900,9300,9300,11134,0,5100.0,4489.23050361971,4.011739000020498,9344.945869000072,50100.25767918089
